ParameterName,Writeable
InternetGatewayDevice.,0
InternetGatewayDevice.DeviceInfo.Manufacturer,0
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,0
InternetGatewayDevice.DeviceInfo.ModelName,0
InternetGatewayDevice.DeviceInfo.Description,0
InternetGatewayDevice.DeviceInfo.ProductClass,0
InternetGatewayDevice.DeviceInfo.SerialNumber,0
InternetGatewayDevice.DeviceInfo.HardwareVersion,0
InternetGatewayDevice.DeviceInfo.SoftwareVersion,0
InternetGatewayDevice.DeviceInfo.SpecVersion,0
InternetGatewayDevice.DeviceInfo.ProvisioningCode,1
InternetGatewayDevice.DeviceInfo.UpTime,0
InternetGatewayDevice.DeviceInfo.FirstUseDate,0
InternetGatewayDevice.DeviceInfo.,0
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState,1
InternetGatewayDevice.IPPingDiagnostics.Interface,1
InternetGatewayDevice.IPPingDiagnostics.Host,1
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions,1
InternetGatewayDevice.IPPingDiagnostics.Timeout,1
InternetGatewayDevice.IPPingDiagnostics.DataBlockSize,1
InternetGatewayDevice.IPPingDiagnostics.DSCP,1
InternetGatewayDevice.IPPingDiagnostics.SuccessCount,0
InternetGatewayDevice.IPPingDiagnostics.FailureCount,0
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime,0
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime,0
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime,0
InternetGatewayDevice.IPPingDiagnostics.,0
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceIPAddress,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceSubnetMask,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerEnable,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MinAddress,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MaxAddress,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DNSServers,1
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.,0
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Status,0
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddress,0
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.,0
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.PreSharedKey.2.PreSharedKey,1
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.PreSharedKey.2.KeyPassphrase,1
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.PreSharedKey.2.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.PreSharedKey.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.8.WEPKey,1
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.8.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.7.WEPKey,1
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.7.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.6.WEPKey,1
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.6.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.5.WEPKey,1
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.5.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WEPKey.,0
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.Enable,1
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.Status,0
